name,cover,price,author,publisher,isbn,publish_date,page,path
2021 管理类联考 老吕数学母题800练（第6版）,https://img.dushu.com/2020/11/12/09483245726845.jpg_200.jpg,¥69.80,,,9787568281294,2020-03-01,,2021 管理类联考 老吕数学母题800练（第6版）.jpg
学在中国.实践教程（2）,https://img.dushu.com/2020/11/13/10354441566981.jpg_200.jpg,¥58.00,,,9787521315448,2020-04-01,224,学在中国.实践教程（2）.jpg
精神分析式对话：从心理医院到躺椅,https://img.dushu.com/2020/11/12/09505926157367.jpg_200.jpg,¥49.00,,,9787568920148,2020-04-01,262,精神分析式对话：从心理医院到躺椅.jpg
单片微型计算机原理与接口技术：基于STC15W4K32S4单片机,https://a.dushu.com/img/n200.png,¥65.00,,,9787564644956,2019-07-01,,大学跨文化英语综合教程2教师用书（一书一码）.jpg
追寻生命的智慧,https://img.dushu.com/2020/11/12/09510029819417.jpg_200.jpg,¥59.80,,,9787519272975,2020-05-01,260,追寻生命的智慧.jpg
用Proteus可视化设计玩转Arduino,https://img.dushu.com/2020/11/12/09514319989713.jpg_200.jpg,¥69.80,,,9787121389436,2020-05-01,244,用Proteus可视化设计玩转Arduino.jpg
假肢矫形器技术与临床应用,https://img.dushu.com/2020/11/12/09370456759664.jpg_200.jpg,¥268.00,,,9787121355530,2020-04-01,552,假肢矫形器技术与临床应用.jpg
企业社会责任内部控制研究,https://img.dushu.com/2020/11/12/09523542890218.jpg_200.jpg,¥78.00,,,9787550432987,2019-09-01,,企业社会责任内部控制研究.jpg
精编外科学治疗新进展,https://img.dushu.com/2020/11/12/09365890375907.jpg_200.jpg,¥68.00,,,9787518961948,2019-12-01,207,精编外科学治疗新进展.jpg
柱上开关设备抽检工作规范,https://img.dushu.com/2020/11/12/09540036466352.jpg_200.jpg,¥16.00,,,9787519835576,2019-09-01,,柱上开关设备抽检工作规范.jpg
解读《药品生产监督管理办法》,https://img.dushu.com/2020/11/13/0940304889138.jpg_200.jpg,¥58.00,,,9787521418064,2020-05-01,116,解读《药品生产监督管理办法》.jpg
山海经（套装共4册）,https://img.dushu.com/2020/11/12/09581773987876.jpg_200.jpg,¥696.00,,,9787545131178,2014-06-01,,山海经（套装共4册）.jpg
全国社会工作者职业水平考试真题解析与押题试卷（中级）,https://img.dushu.com/2020/11/12/1003035752027.jpg_200.jpg,¥98.00,,,9787504771346,2020-04-01,,全国社会工作者职业水平考试真题解析与押题试卷（中级）.jpg
环境影响评价技术导则与标准（2020年版）,https://img.dushu.com/2020/11/12/10030563626127.jpg_200.jpg,¥59.00,,,9787511142948,2020-04-01,,环境影响评价技术导则与标准（2020年版）.jpg
金牌月嫂手把手教你做月子餐,https://img.dushu.com/2020/11/12/10022447496623.jpg_200.jpg,¥49.80,,,9787518063031,2020-04-01,192,金牌月嫂手把手教你做月子餐.jpg
重症疾病药物治疗的药学监护,https://img.dushu.com/2020/11/13/09403349672613.jpg_200.jpg,¥49.00,,,9787117293150,2020-05-01,256,重症疾病药物治疗的药学监护.jpg
电子商务数据分析实践,https://img.dushu.com/2020/11/12/10040519712145.jpg_200.jpg,¥53.00,,,9787040474114,2020-03-01,,电子商务数据分析实践.jpg
数据科学入门：基于Python语言（第2版影印版 英文版）,https://img.dushu.com/2020/11/12/09551919976499.jpg_200.jpg,¥118.00,,,9787564188269,2020-05-01,384,数据科学入门：基于Python语言（第2版影印版 英文版）.jpg
跟随利玛窦来中国,https://img.dushu.com/2020/11/12/10070065256891.jpg_200.jpg,¥99.00,,,9787520359108,2020-05-01,379,跟随利玛窦来中国.jpg
农村电商知识读本（修订版）,https://img.dushu.com/2020/11/12/1003579361096.jpg_200.jpg,¥19.80,,,9787553207568,2019-05-01,70,农村电商知识读本（修订版）.jpg
跨大西洋数据保护实践,https://img.dushu.com/2020/11/12/09595581230872.jpg_200.jpg,¥35.00,,,9787516221570,2020-04-01,,跨大西洋数据保护实践.jpg
Apache Spark流处理（影印版 英文版）,https://img.dushu.com/2020/11/12/09552036768866.jpg_200.jpg,¥120.00,,,9787564188238,2020-05-01,424,Apache Spark流处理（影印版 英文版）.jpg
环境影响评价相关法律法规（2020年版）,https://img.dushu.com/2020/11/12/10030769166588.jpg_200.jpg,¥63.00,,,9787511142931,2020-04-01,,环境影响评价相关法律法规（2020年版）.jpg
